,Alimento,Proteinas,Grasas,Carbohidratos,Horario,Ingredientes,Horario_1,Horario_2,Calorias_Total_100g,Image_url
14,Arroz con pollo,6.9,2.2,23.0,Almuerzo,ARROZ-POLLO-CHOCLO,Almuerzo,,139.4,https://t1.rg.ltmcdn.com/es/posts/2/5/6/arroz_con_pollo_peruano_59652_600_square.jpg
15,Arvejita verde partida con estofado de pollo y arroz,8.8,2.8,20.2,Almuerzo-Cena,LENTEJAS-POLLO-ARROZ,Almuerzo,Cena,141.2,https://img-global.cpcdn.com/recipes/989dfa4f7a0f704a/680x482cq70/arvejita-verde-con-pollo-a-la-olla-foto-principal.jpg
16,Asado de cerdo con arvejita verde y arroz,7.2,2.0,25.7,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,149.6,https://img-global.cpcdn.com/recipes/3692ccff88faf424/400x400cq70/photo.jpg
17,Asado de cerdo con menestra y arroz,8.0,2.2,24.9,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,151.4,https://www.eluniverso.com/resizer/vd4c7XpKeftuhCGTCXe6sTnCMRo=/792x670/smart/filters:quality(70)/cloudfront-us-east-1.images.arcpublishing.com/eluniverso/E7URWM6BUJCTHNRSUEMYU4YOHQ.jpg
18,Asado de pollo y arroz,9.3,3.0,22.0,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,152.2,https://live.staticflickr.com/4249/35079627172_4020b257f6_z.jpg
19,Asado de pollo con menestra y arroz,9.6,1.9,22.3,Almuerzo-Cena,POLLO-ARROZ-LENTEJA,Almuerzo,Cena,144.7,https://i.pinimg.com/600x315/23/01/fb/2301fb764903a5454e19a2caef716351.jpg
20,Asado de pollo con pure y arroz,6.4,2.7,23.7,Almuerzo,POLLO-PAPA-ARROZ,Almuerzo,,144.7,https://content.jwplatform.com/thumbs/4PbhaMRy-720.jpg
21,Asado de res y arroz,6.1,0.5,21.7,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,115.7,https://www.ajinomoto.com.pe/repositorioaps/data/1/1/1/rec/50asadoderes/images/50.-Asado-de-res.jpg
22,Asado de res con menestra y arroz,7.2,0.9,17.6,Almuerzo-Cena,CARNE-LENTEJA-ARROZ,Almuerzo,Cena,107.3,https://img-global.cpcdn.com/recipes/966e71c35a52b94b/400x400cq70/photo.jpg
23,Bisteck de res con papas fritas y arroz,3.4,3.1,13.5,Almuerzo-Cena,CARNE-PAPA-ARROZ,Almuerzo,Cena,95.5,https://img.freepik.com/foto-gratis/plato-bistec-ejecutivo-papas-fritas-arroz-comida-tradicional-brasilena_285885-128.jpg
24,Cabrito a la norteña con arroz,3.8,0.7,15.6,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,83.9,https://img-global.cpcdn.com/recipes/bfcedff136a9c1e5/400x400cq70/photo.jpg
25,Cabrito con frejoles y arroz,7.6,2.1,26.1,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,153.7,https://img-global.cpcdn.com/recipes/bfcedff136a9c1e5/400x400cq70/photo.jpg
26,Cau cau con arroz,4.6,3.1,19.8,Almuerzo-Cena,PAPA-ARROZ-CERDO,Almuerzo,Cena,125.5,https://cocina-casera.com/wp-content/uploads/2018/01/cau-cau-receta.jpg
27,Chuleta a la parrilla con arroz,6.3,1.8,17.2,Almuerzo-Cena,CERDO-ARROZ,Almuerzo,Cena,110.2,https://thumbs.dreamstime.com/b/arroz-blanco-del-filete-de-chuleta-cerdo-y-br%C3%B3culi-verde-en-el-plato-la-tabla-madera-116277924.jpg
28,Churrasco con frejoles y arroz,10.9,6.4,17.8,Almuerzo-Cena,CARNE-FRIJOL-ARROZ,Almuerzo,Cena,172.4,https://losguayachos.com/wp-content/uploads/2021/02/167-chuleta-a-la-parrilla-con-frejoles.jpg
29,Churrasco con papas fritas con ensalada y arroz,4.6,4.3,24.4,Almuerzo,CARNE-PAPA-ARROZ,Almuerzo,,154.7,https://media-cdn.tripadvisor.com/media/photo-s/0b/54/21/6f/arroz-con-carne-y-papas.jpg
30,Combinado de pollo,4.8,1.7,22.2,Almuerzo-Cena,ARROZ-FIDEO-POLLO,Almuerzo,Cena,123.3,https://img-global.cpcdn.com/recipes/837579146e831e08/400x400cq70/photo.jpg
31,Cordero a la norteña con frejoles y arroz,7.5,3.8,20.8,Almuerzo-Cena,CARNE-FIJOL-ARROZ,Almuerzo,Cena,147.4,https://decomidaperuana.com/wp-content/uploads/2017/08/receta-de-seco-de-cabrito.jpg
32,Ensalada rusa con pollo al horno y arroz,9.8,1.4,21.4,Almuerzo-Cena,PAPA-CHOCLO-POLLO-ARROZ,Almuerzo,Cena,137.4,https://img-global.cpcdn.com/recipes/e43fc301f1eb3038/400x400cq70/photo.jpg
33,Escabeche de pollo con arroz,6.7,2.8,22.7,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,142.8,https://decomidaperuana.com/wp-content/uploads/2019/09/receta-de-escabeche-de-pollo.jpg
34,Estofado de pavita con arroz y ensalada,5.8,2.3,23.2,Almuerzo,PAVITA-ARROZ,Almuerzo,,136.7,https://lacomidadehoy.com/wp-content/uploads/2019/06/guiso-de-pavita-700x400.jpg
35,Estofado de pollo con arroz,7.0,1.9,19.0,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,121.1,https://www.comeperuano.pe/wp-content/uploads/2020/03/ESTOFADO11.jpg
36,Estofado de pollo con menestra y arroz,7.9,1.6,19.4,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,123.6,https://img-global.cpcdn.com/recipes/5e1b2a8217dcd770/400x400cq70/photo.jpg
37,Filete de pescado con menestra y arroz,7.7,4.2,37.9,Almuerzo,PESCADO-LENTEJA-ARROZ,Almuerzo,,220.2,https://www.tqma.com.ec/images/com_yoorecipe/banner_superior/4706_1.jpg
38,Frejoles con asado de carne y arroz,6.1,2.3,18.4,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,118.7,https://img-global.cpcdn.com/recipes/e54218bf087b25b7/400x400cq70/photo.jpg
39,Frejoles con cabrito a la norteña y arroz,9.1,5.6,18.8,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,162.0,https://decomidaperuana.com/wp-content/uploads/2017/08/receta-de-seco-de-cabrito.jpg
40,Frejoles con pescado y arroz,7.2,7.1,17.4,Almuerzo-Cena,FRIJOL-PESCADO-ARROZ,Almuerzo,Cena,162.3,https://img-global.cpcdn.com/recipes/86e834d5d36a1b40/400x400cq70/photo.jpg
41,Frejoles con pescado con ensalada y arroz,8.9,5.0,24.4,Almuerzo,FRIJOL-PESCADO-ARROZ,Almuerzo,,178.2,https://img-global.cpcdn.com/recipes/86e834d5d36a1b40/400x400cq70/photo.jpg
42,Frejoles con seco a la norteña y arroz,9.3,1.6,15.4,Almuerzo-Cena,FRIJOL-CARNE-ARROZ,Almuerzo,Cena,113.2,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
43,Frejoles con seco y arroz,7.9,2.6,37.1,Almuerzo,FRIJOL-CARNE-ARROZ,Almuerzo,,203.4,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
44,Frejoles con seco y ensalada y arroz,10.6,3.8,29.5,Almuerzo,FRIJOL-CARNE-ARROZ,Almuerzo,,194.6,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
45,Garbanzo con pescado y arroz,6.2,2.6,20.5,Almuerzo-Cena,PESCADO-ARROZ-LENTEJA,Almuerzo,Cena,130.2,https://img-global.cpcdn.com/recipes/9431be2f580dda0e/680x482cq70/garbanzos-con-pescado-frito-foto-principal.jpg
46,Guiso de caigua con arroz,6.7,2.0,22.3,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,134.0,https://antojosperuanos.com/wp-content/uploads/caigua-rellena.jpg
47,Higado encebollado con arroz,3.9,1.7,20.5,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,112.9,https://img-global.cpcdn.com/recipes/59a964c3251254b0/400x400cq70/photo.jpg
48,Lenteja con chuleta y arroz,6.7,2.7,17.2,Almuerzo-Cena,LENTEJA-CERDO-ARROZ,Almuerzo,Cena,119.9,https://comeconcausa.com/wp-content/uploads/2021/04/33.-CHULETA-CON-LENTEJAS.jpg
49,Lenteja con estofado de pollo y arroz,7.5,2.3,20.5,Almuerzo-Cena,LENTEJA-POLLO-ARROZ,Almuerzo,Cena,132.7,https://img-global.cpcdn.com/recipes/002bddfbed55e1b9/400x400cq70/photo.jpg
50,Lenteja con pescado y arroz,6.0,5.9,23.9,Almuerzo,LENTEJA-PESCADO-ARROZ,Almuerzo,,172.7,https://www.cocina-ecuatoriana.com/base/stock/Recipe/108-image/108-image_web.jpg
51,Locro con higado de carne y arroz,3.1,5.6,18.2,Almuerzo-Cena,CHOCLO-ARROZ-CARNE,Almuerzo,Cena,135.6,https://img-global.cpcdn.com/recipes/4462c739fd7a3e7c/400x400cq70/photo.jpg
52,Lomito de atún con arroz,4.9,4.9,24.8,Almuerzo,ATUN-POLLO-ARROZ,Almuerzo,,162.9,https://img-global.cpcdn.com/recipes/72f3247dac177d9e/400x400cq70/photo.jpg
53,Lomo saltado de carne con arroz,4.6,8.2,21.3,Almuerzo-Cena,CARNE-ARROZ-PAPA,Almuerzo,Cena,177.4,https://img-global.cpcdn.com/recipes/a4bd45b673b6b56f/400x400cq70/photo.jpg
54,Milanesa con ensalada y arroz,5.2,5.0,22.4,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,155.4,https://img-global.cpcdn.com/recipes/d5e849f4ba6a8fff/400x400cq70/photo.jpg
55,Mondonguito a la italiana con arroz,4.7,0.9,24.9,Almuerzo,CERDO-ARROZ-PAPA,Almuerzo,,126.5,https://libroderecetas.com/files/recetas/Mondonguito%20a%20la%20italiana.jpg
56,Olluquito de carne con arroz integral,5.1,2.4,21.4,Almuerzo-Cena,ARROZ-POLLO,Almuerzo,Cena,127.6,https://img-global.cpcdn.com/recipes/02f99d65012a74cb/400x400cq70/photo.jpg
57,Pachamanca a la olla con arroz,11.0,2.4,11.8,Almuerzo-Cena,CHOCLO-CARNE-CAMOTE-ARROZ,Almuerzo,Cena,112.8,https://micomidaperuana.com/wp-content/uploads/2019/09/pachamanca-olla.jpg
58,Pallares con guiso de pollo y arroz,9.5,2.8,26.5,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,169.2,https://img-global.cpcdn.com/recipes/073909399a8afbc3/680x482cq70/pallares-con-estofado-de-pollo-foto-principal.jpg
59,Pallares con pollo y arroz,9.4,2.3,32.0,Almuerzo,LENTEJA-ARROZ-POLLO,Almuerzo,,186.3,https://img-global.cpcdn.com/recipes/3a2cf8ee27b0902c/400x400cq70/photo.jpg
60,Pescado con arroz,7.1,2.3,20.7,Almuerzo-Cena,PESCADO-ARROZ,Almuerzo,Cena,131.9,https://img-global.cpcdn.com/recipes/ad75d4a19e029dc6/400x400cq70/photo.jpg
61,Pescado con menestra y arroz,7.4,5.0,21.3,Almuerzo-Cena,PESCADO-LENTEJA-ARROZ,Almuerzo,Cena,159.8,https://www.tqma.com.ec/images/com_yoorecipe/banner_superior/4706_1.jpg
62,Picante de pollo con arroz,4.7,6.9,34.5,Almuerzo,POLLO-ARROZ-PAPA,Almuerzo,,218.9,https://comidasperuanas.net/wp-content/uploads/2020/12/Picante-de-pollo.jpg
63,Pollo a la norteña con arroz,8.4,2.1,19.7,Almuerzo-Cena,POLLO-ARROZ-YUCA,Almuerzo,Cena,131.3,https://d-rodolfo.com/wp-content/uploads/2019/11/x38.jpg
64,Pollo a la olla con menestra y arroz,9.8,1.8,29.1,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,171.8,https://img-global.cpcdn.com/recipes/37a5d3e4bc95e217/400x400cq70/photo.jpg
65,Pollo a la olla con pure y arroz,6.1,1.5,13.5,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,91.9,https://img-global.cpcdn.com/recipes/bef0aa5082e39f2e/680x482cq70/pure-de-papas-y-pollo-a-la-olla-foto-principal.jpg
66,Pollo a la plancha con ensalada y arroz,3.1,0.4,28.9,Almuerzo,POLLO-ARROZ,Almuerzo,,131.6,https://img.freepik.com/foto-gratis/pollo-plancha-ensalada-arroz_434193-1280.jpg
67,Pollo a la plancha con pure y arroz,9.0,3.6,15.4,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,130.0,https://img-global.cpcdn.com/recipes/0a5c1b970abca669/400x400cq70/photo.jpg
68,Pollo al horno con arroz,7.6,2.1,22.2,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,138.1,https://minichef.b-cdn.net/assets/5e/83/92/20/e2/5a/eimpbcdtrzanrk6vzzocalv6by.jpg
69,Pollo al horno con ensalada y arroz,9.0,4.4,14.3,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,132.8,https://img-global.cpcdn.com/recipes/19913e00cc025be3/400x400cq70/photo.jpg
70,Pollo al horno con ensalada rusa y arroz,6.7,2.7,30.8,Almuerzo,POLLO-PAPA,Almuerzo,,174.3,https://img-global.cpcdn.com/recipes/e43fc301f1eb3038/400x400cq70/photo.jpg
71,Pollo al horno con menestra y arroz,10.7,3.3,23.6,Almuerzo,LENTEJA-POLLO-ARROZ,Almuerzo,,166.9,https://i.pinimg.com/600x315/23/01/fb/2301fb764903a5454e19a2caef716351.jpg
72,Pollo al horno con pure y arroz,7.3,3.2,20.1,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,138.4,https://acomer.pe/wp-content/uploads/2017/07/pure-de-papas-perfil-420x400.jpg
73,Pollo al jugo con menestra y arroz,7.7,1.9,21.7,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,134.7,https://i.pinimg.com/600x315/23/01/fb/2301fb764903a5454e19a2caef716351.jpg
74,Pollo al mani con arroz,6.4,1.7,25.5,Almuerzo,POLLO-ARROZ,Almuerzo,,142.9,https://comidasperuanas.net/wp-content/uploads/2020/10/Pollo-al-mani.jpg
75,Pollo al mani con ensalada y arroz,3.2,7.7,20.9,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,165.7,https://recetas.7maravillasgastronomicas.com/wp-content/uploads/2011/05/pollo-salsa-mani.jpg
76,Pollo con arroz,9.2,2.0,19.9,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,134.4,https://d1nsq2txwd94q7.cloudfront.net/public/files/production/recipes/images/3038/fancy/r_3038_1550832168.jpg
77,Pollo frito con arroz,6.2,5.6,24.8,Almuerzo,CON-PAN,Almuerzo,,174.4,https://media-cdn.tripadvisor.com/media/photo-s/16/e5/79/6c/arroz-con-pollo-frito.jpg
78,Pollo frito con ensalada y arroz,3.5,5.3,22.4,Almuerzo-Cena,POLLO-PALTA-ARROZ,Almuerzo,Cena,151.3,https://media-cdn.tripadvisor.com/media/photo-s/16/e5/79/6c/arroz-con-pollo-frito.jpg
79,Pollo frito con menestra y arroz,6.5,2.3,27.3,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,155.9,https://www.tqma.com.ec/images/com_yoorecipe/banner_superior/1555_1.jpg
80,Pure con asado y arroz,3.9,2.5,19.1,Almuerzo-Cena,PAPA-CERDO-ARROZ,Almuerzo,Cena,114.5,https://minichef.b-cdn.net/assets/57/f0/ae/84/d5/56/asado%20de%20res%20con%20pur%C3%A9.png
81,Pure con pavita y arroz,4.8,3.7,19.9,Almuerzo-Cena,PAVITA-ARROZ-PAPA,Almuerzo,Cena,132.1,https://img-global.cpcdn.com/recipes/2cc951b3d10b8997/400x400cq70/photo.jpg
82,Pure con pollo al sillao y arroz,5.4,1.9,28.4,Almuerzo,PAPA-POLLO-ARROZ,Almuerzo,,152.3,https://i.ytimg.com/vi/kpmH5pG653c/mqdefault.jpg
83,Pure con pollo y arroz,7.9,3.3,19.2,Almuerzo-Cena,PAPA-POLLO-ARROZ,Almuerzo,Cena,138.1,https://img-global.cpcdn.com/recipes/eb6b24a224727f19/400x400cq70/photo.jpg
84,Seco a la norteña con arroz,5.3,1.2,28.7,Almuerzo,YUCA-CARNE-ARROZ,Almuerzo,,146.8,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
85,Seco a la norteña con menestra y arroz,5.5,1.8,22.9,Almuerzo-Cena,YUCA-CARNE-ARROZ,Almuerzo,Cena,129.8,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
86,Seco a la norteña con sarsa criolla y arroz,4.4,1.9,22.7,Almuerzo-Cena,YUCA-CARNE-LENTEJA-ARROZ,Almuerzo,Cena,125.5,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
87,Seco a la norteña de pollo con menestra y arroz,4.0,1.5,10.1,Almuerzo-Cena,YUCA-POLLO-LENTEJA-ARROZ,Almuerzo,Cena,69.9,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
88,Seco a la norteña de res con menestra y arroz,6.0,1.5,19.7,Almuerzo-Cena,CARNE-LENTEJA-ARROZ-YUCA,Almuerzo,Cena,116.3,https://img-global.cpcdn.com/recipes/f7b662f841aca029/400x400cq70/photo.jpg
89,Seco de cabrito con arroz,6.4,1.7,20.4,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,122.5,https://comidasperuanas.net/wp-content/uploads/2016/02/Seco-de-cabrito-con-frejoles.jpg
90,Seco de cabrito con menestra y arroz,8.0,2.6,27.2,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,164.2,https://comidasperuanas.net/wp-content/uploads/2016/02/Seco-de-cabrito-con-frejoles.jpg
91,Seco de cordero con menestra y arroz,7.8,4.1,23.2,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,160.9,https://comidasperuanas.net/wp-content/uploads/2016/02/Seco-de-cabrito-con-frejoles.jpg
92,Seco de cordero con menestra con sarsa criolla y arroz,8.0,2.1,34.7,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,189.7,https://comidasperuanas.net/wp-content/uploads/2016/02/Seco-de-cabrito-con-frejoles.jpg
93,Seco de pollo con arroz,7.0,2.1,21.0,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,130.9,https://www.comida-peruana.com/base/stock/Recipe/100-image/100-image_web.jpg
94,Seco de pollo con menestra y arroz,9.1,2.2,20.8,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,139.4,https://img-global.cpcdn.com/recipes/5e1b2a8217dcd770/400x400cq70/photo.jpg
95,Seco de res a la huachana con menestra y arroz,7.3,2.0,18.9,Almuerzo-Cena,CARNE-ARROZ-FRIJOL,Almuerzo,Cena,122.8,https://img-global.cpcdn.com/recipes/4e1bf10148151ffb/400x400cq70/photo.jpg
96,Seco de res a la norteña con menestra y arroz,4.9,2.1,18.4,Almuerzo-Cena,YUCA-FRIJOL-CARNE-ARROZ,Almuerzo,Cena,112.1,https://comococinar.pe/wp-content/uploads/2021/06/Seco-a-la-nortena.jpg
97,Seco de res con menestra y arroz,6.2,2.0,24.8,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,142.0,https://decomidaperuana.com/wp-content/uploads/2019/10/seco-de-res-receta-300x300.jpg
98,Seco de res con menestra con ensalada y arroz,5.7,2.2,20.7,Almuerzo-Cena,CARNE-FRIJOL-ARROZ,Almuerzo,Cena,125.4,https://decomidaperuana.com/wp-content/uploads/2019/10/seco-de-res-receta-300x300.jpg
99,Tacu tacu con filete de pollo,8.6,1.5,24.7,Almuerzo,ARROZ-FRIJOL-POLLO,Almuerzo,,146.7,https://comidaperuana.link/wp-content/uploads/2012/04/lomo-con-tacu-tacu.jpg
100,Tacu tacu con lomito,7.0,6.3,19.7,Almuerzo-Cena,PAPA-CARNE-ARROZ-FRIJOL,Almuerzo,Cena,163.5,https://media-cdn.tripadvisor.com/media/photo-s/0f/47/29/32/tacu-tacu-con-lomo-saltado.jpg
101,Tallarines rojos con pollo,7.8,2.3,20.7,Almuerzo-Cena,FIDEO-POLLO,Almuerzo,Cena,134.7,https://img-global.cpcdn.com/recipes/60251a5536c41fc9/400x400cq70/photo.jpg
102,Tallarines verdes con pollo,9.3,6.9,18.8,Almuerzo-Cena,FIDEO-POLLO,Almuerzo,Cena,174.5,https://unacomidaperuana.com/wp-content/uploads/2020/04/tallarines-verdes-con-pollo.jpg
103,Tallarines verdes con pollo y crema a la huancaina,9.3,2.7,23.3,Almuerzo,FIDEO-PAPA-POLLO,Almuerzo,,154.7,https://i.pinimg.com/originals/a8/7e/9c/a87e9c63f280e11b7d32b379ddc46925.jpg
104,Tallarines verdes con res,8.9,2.7,28.7,Almuerzo,FIDEO-CARNE,Almuerzo,,174.7,https://img-global.cpcdn.com/recipes/2f52aaae8189d183/400x400cq70/photo.jpg
105,Avena y pan de maiz con palta,7.7,8.63,44.53,Desayuno-Cena,AVENA-PAN-PALTA,Desayuno,Cena,286.59,https://img-global.cpcdn.com/recipes/3707428dfe611178/680x482cq70/desayuno-saludable-a-base-de-quaker-con-manzanas-y-pan-y-palta-foto-principal.jpg
106,Yogurt y pan integral con queso,10.03,10.8,21.17,Desayuno-Cena,YOGURT-PAN-QUESO,Desayuno,Cena,222.0,https://lh4.googleusercontent.com/-W1sWAY6tol0/TWqCdcAkYGI/AAAAAAAADqk/J0ijRaCmKqU/s640/pan+integral+yogur+1.JPG
107,Yogurt y galleta de avena y huevo duro sancochado,10.0,5.96,25.33,Desayuno-Cena,YOGURT-AVENA-HUEVO,Desayuno,Cena,194.96,https://i.blogs.es/7cb5df/galletas/450_1000.jpg
108,Quinua y pan integral con pavita,14.37,7.6,40.7,Desayuno-Cena,QUINUA-PAN-PAVITA,Desayuno,Cena,288.68,https://images.aws.nestle.recipes/resized/ac1f5a49771cdd2b9cca26bdaeb234a4_sandwich_de_pavo_708_600.jpg
109,Jugo natural de naranja y pan de molde con aceituna,2.77,11.6,27.47,Desayuno-Cena,NARANJA-PAN-ACEITUNA,Desayuno,Cena,225.36,https://w7.pngwing.com/pngs/690/833/png-transparent-juice-breakfast-toast-sydney-drink-fruit-juices-and-bread-breakfast-food-nutrition-fruit-thumbnail.png
110,Jugo natural de maracuya y pan de maiz con jamonada,8.1,12.77,25.2,Desayuno-Cena,MARACUYA-PAN-JAMONADA,Desayuno,Cena,248.13,https://www.cocina-ecuatoriana.com/base/stock/Recipe/127-image/127-image_web.jpg
111,Leche evaporada y pan integral con pulpa de pollo,12.27,6.6,22.13,Desayuno-Cena,LECHE-PAN-POLLO,Desayuno,Cena,197.0,https://img-global.cpcdn.com/recipes/266b2948826aa9d7/400x400cq70/photo.jpg
112,Leche evaporada y pan de yema con queso fresco ,11.07,11.97,23.2,Desayuno-Cena,LECHE-PAN-QUESO,Desayuno,Cena,244.81,https://w0.peakpx.com/wallpaper/605/25/HD-wallpaper-delicious-breakfast-delicious-chese-bread-cup-breakfast-milk.jpg
113,Jugo natural de cocona y huevo duro sancochado y manzana,4.37,3.33,5.13,Desayuno-Cena,COCONA-HUEVO-MANZANA,Desayuno,Cena,67.97,https://thumbs.dreamstime.com/b/huevos-fritos-caf%C3%A9-con-leche-zumo-de-naranja-croissant-y-pasteler%C3%ADa-manzana-en-una-mesa-madera-desayuno-sano-sobre-enfoque-164403116.jpg
114,Quinua y pan de yema con atún,15.3,7.93,40.67,Desayuno-Cena,QUINUA-PAN-ATUN,Desayuno,Cena,295.25,https://movistarplus.pe/wp-content/uploads/sites/3/2020/09/receta-como-preparar-una-deliciosa-y-nutritiva-quinua-carretillera-0fcb3.jpg
115,Jugo natural de granadilla y pan de maiz con pavita y huevo sancochado,10.5,6.7,16.0,Desayuno-Cena,GRANADILLA-PAVO-PAN-HUEVO,Desayuno,Cena,166.3,https://us.123rf.com/450wm/nataliaspb/nataliaspb1301/nataliaspb130100156/17477610-pan-con-huevo-y-jugo-de-naranja.jpg
116,Leche evaporada y pan de maiz con mantequilla,8.93,8.77,22.53,Desayuno-Cena,LECHE-PAN-MANTEQUILLA,Desayuno,Cena,204.77,https://img.freepik.com/foto-gratis/vaso-leche-pan-mantequilla_82893-1661.jpg
